id,product_id,product_name,product_category,color_name,color_hex,image_1,image_2,image_3,image_4,image_5,status,created_date,updated_date
color-1764499381-7477,digital-door-lock,"Digital Door Lock","Digital Lock",red,#ff0000,uploads/color-variants/1764499381/1764499381_1_1758055323_1_IMG-20250908-WA0013.jpg,uploads/color-variants/1764499381/1764499381_2_1758055460_0_IMG-20250908-WA0017.jpg,uploads/color-variants/1764499381/1764499381_3_1758122081_68cad061744cf_IMG-20250908-WA0014.jpg,uploads/color-variants/1764499381/1764499381_4_1758122312_68cad14800d0d_IMG-20250908-WA0015.jpg,uploads/color-variants/1764499381/1764499381_5_1758129720_68caee3875942_IMG-20250908-WA0016.jpg,active,2025-11-30,2025-11-30
color-1764499489-2379,"product 1","Product 1",Hardware,black,#000000,uploads/color-variants/1764499489/1764499489_1_1758122199_68cad0d7db812_IMG-20250908-WA0015.jpg,uploads/color-variants/1764499489/1764499489_2_1758122088_68cad06807a44_IMG-20250908-WA0014.jpg,uploads/color-variants/1764499489/1764499489_3_1758055460_1_IMG-20250908-WA0017.jpg,uploads/color-variants/1764499489/1764499489_4_1758121680_1_IMG-20250908-WA0010.jpg,uploads/color-variants/1764499489/1764499489_5_1759558824_68e0bca8a60f4_IMG-20250908-WA0014.jpg,active,2025-11-30,2025-11-30
